Age,Subject one,Subject Two,Subject Three,Subject Four,,,,
26,1,3,1,2,,,,
20,2,1,2,1,,,,
28,2,1,2,2,,,,
40,1,2,3,1,,,,Author: Jinzhe Zhang
62,3,1,2,2,,,,
24,2,3,4,1,,,,
20,1,2,1,1,,,,
41,2,3,3,1,,,,
55,2,3,2,2,,,,
54,3,2,3,2,,,,
20,1,1,1,1,,,,
29,4,3,2,1,,,,
63,1,4,3,3,,,,
26,2,2,1,1,,,,
46,3,3,2,2,,,,
59,2,2,1,3,,,,
20,1,4,2,1,,,,
23,1,1,3,1,,,,
63,5,2,1,2,,,,
28,2,3,4,1,,,,
33,3,1,1,2,,,,
59,4,2,3,2,,,,
55,3,2,2,3,,,,
38,1,3,2,1,,,,
31,1,1,1,2,,,,
22,1,4,3,2,,,,
22,4,3,1,2,,,,
39,2,1,2,3,,,,
19,1,1,1,1,,,,
61,3,5,2,3,,,,
47,2,2,2,1,,,,
48,1,1,1,2,,,,
62,1,1,3,2,,,,
31,2,3,3,1,,,,
29,3,3,2,3,,,,
29,4,2,1,1,,,,
64,3,1,3,2,,,,
18,2,2,1,1,,,,
65,4,1,2,2,,,,
